Food_Name,Claim_Count
Rice,1
Rice,1
Soup,1
Pasta,1
Fruits,1
Bread,1
Salad,1
Salad,1
Soup,1
Bread,1
Pasta,1
Salad,1
Vegetables,1
Salad,1
Bread,1
Soup,1
Soup,1
Dairy,1
Dairy,1
Bread,1
Rice,1
Salad,1
Pasta,1
Pasta,1
Bread,1
Bread,1
Chicken,1
Salad,1
Salad,1
Salad,1
Rice,1
Fish,1
Pasta,1
Dairy,1
Salad,1
Dairy,1
Vegetables,1
Soup,1
Pasta,1
Soup,1
Chicken,1
Dairy,1
Fruits,1
Soup,1
Pasta,1
Vegetables,1
Fish,1
Fruits,1
Chicken,1
Fish,1
Bread,1
Dairy,1
Soup,1
Salad,1
Chicken,1
Soup,1
Bread,1
Dairy,1
Fish,1
Vegetables,1
Chicken,1
Salad,1
Chicken,1
Pasta,1
Fruits,1
Bread,1
Fish,1
Fish,1
Chicken,1
Chicken,1
Fruits,1
Dairy,1
Chicken,1
Dairy,1
Fruits,1
Chicken,1
Bread,1
Salad,1
Fish,1
Chicken,1
Chicken,1
Bread,1
Salad,1
Dairy,1
Fruits,1
Dairy,1
Pasta,1
Vegetables,1
Fish,1
Dairy,1
Soup,1
Fish,1
Rice,1
Bread,1
Salad,1
Chicken,1
Chicken,1
Pasta,1
Chicken,1
Fish,1
Dairy,1
Vegetables,1
Rice,1
Bread,1
Salad,1
Rice,1
Dairy,1
Soup,1
Soup,1
Bread,1
Chicken,1
Vegetables,1
Dairy,1
Salad,1
Vegetables,1
Rice,1
Bread,1
Vegetables,1
Rice,1
Soup,1
Pasta,1
Soup,1
Fruits,1
Rice,1
Fruits,1
Fish,1
Vegetables,1
Pasta,1
Chicken,1
Bread,1
Soup,1
Bread,1
Pasta,1
Salad,1
Rice,1
Fruits,1
Pasta,1
Soup,0
Fruits,0
Soup,0
Rice,0
Rice,0
Pasta,0
Bread,0
Salad,0
Pasta,0
Rice,0
Bread,0
Vegetables,0
Salad,0
Rice,0
Bread,0
Rice,0
Bread,0
Rice,0
Dairy,0
Fruits,0
Soup,0
Chicken,0
Pasta,0
Rice,0
Rice,0
Bread,0
Pasta,0
Rice,0
Vegetables,0
Salad,0
Vegetables,0
Salad,0
Bread,0
Rice,0
Bread,0
Rice,0
Chicken,0
Soup,0
Dairy,0
Vegetables,0
Fruits,0
Soup,0
Salad,0
Rice,0
Vegetables,0
Rice,0
Chicken,0
Soup,0
Rice,0
Chicken,0
Vegetables,0
Fruits,0
Bread,0
Pasta,0
Fruits,0
Fruits,0
Salad,0
Fish,0
Dairy,0
Soup,0
Salad,0
Soup,0
Pasta,0
Vegetables,0
Fish,0
Bread,0
Soup,0
Fish,0
Fish,0
Salad,0
Fruits,0
Fish,0
Fish,0
Vegetables,0
Rice,0
Dairy,0
Vegetables,0
Soup,0
Soup,0
Fish,0
Vegetables,0
Salad,0
Dairy,0
Rice,0
Salad,0
Bread,0
Soup,0
Soup,0
Fish,0
Pasta,0
Salad,0
Fruits,0
Pasta,0
Dairy,0
Pasta,0
Bread,0
Vegetables,0
Dairy,0
Rice,0
Fish,0
Soup,0
Salad,0
Chicken,0
Fish,0
Fruits,0
Fish,0
Salad,0
Chicken,0
Chicken,0
Salad,0
Dairy,0
Vegetables,0
Pasta,0
Vegetables,0
Bread,0
Vegetables,0
Chicken,0
Chicken,0
Fish,0
Pasta,0
Bread,0
Pasta,0
Chicken,0
Chicken,0
Dairy,0
Chicken,0
Bread,0
Chicken,0
Salad,0
Fruits,0
Fruits,0
Pasta,0
Vegetables,0
Vegetables,0
Pasta,0
Vegetables,0
Soup,0
Soup,0
Fruits,0
Fish,0
Chicken,0
Soup,0
Vegetables,0
Soup,0
Soup,0
Fish,0
Dairy,0
Pasta,0
Dairy,0
Pasta,0
Dairy,0
Vegetables,0
Pasta,0
Fruits,0
Pasta,0
Fish,0
Pasta,0
Dairy,0
Bread,0
Fish,0
Vegetables,0
Pasta,0
Pasta,0
Rice,0
Fruits,0
Salad,0
Pasta,0
Salad,0
Chicken,0
Dairy,0
Soup,0
Salad,0
Bread,0
Salad,0
Fruits,0
Dairy,0
Chicken,0
Rice,0
Fruits,0
Salad,0
Fruits,0
Salad,0
Fish,0
Pasta,0
Dairy,0
Soup,0
Fruits,0
Fish,0
Salad,0
Vegetables,0
Vegetables,0
Bread,0
Pasta,0
Chicken,0
Rice,0
Dairy,0
Pasta,0
Fish,0
Bread,0
Fish,0
Pasta,0
Salad,0
Salad,0
Salad,0
Vegetables,0
Salad,0
Fruits,0
Dairy,0
Fruits,0
Salad,0
Pasta,0
Vegetables,0
Vegetables,0
Bread,0
Soup,0
Soup,0
Chicken,0
Soup,0
Fish,0
Bread,0
Pasta,0
Rice,0
Chicken,0
Soup,0
Fruits,0
Dairy,0
Soup,0
Bread,0
Vegetables,0
Salad,0
Bread,0
Vegetables,0
Soup,0
Pasta,0
Bread,0
Salad,0
Rice,0
Chicken,0
Rice,0
Dairy,0
Bread,0
Chicken,0
Dairy,0
Chicken,0
Chicken,0
Pasta,0
Pasta,0
Vegetables,0
Pasta,0
Dairy,0
Soup,0
Rice,0
Fruits,0
Fish,0
Salad,0
Dairy,0
Fruits,0
Bread,0
Soup,0
Fruits,0
Dairy,0
Rice,0
Chicken,0
Dairy,0
Dairy,0
Soup,0
Dairy,0
Salad,0
Fish,0
Dairy,0
Chicken,0
Bread,0
Dairy,0
Bread,0
Rice,0
Bread,0
Chicken,0
Fruits,0
Pasta,0
Soup,0
Chicken,0
Dairy,0
Dairy,0
Bread,0
Pasta,0
Fruits,0
Rice,0
Salad,0
Vegetables,0
Pasta,0
Pasta,0
Vegetables,0
Bread,0
Chicken,0
Bread,0
Fruits,0
Bread,0
Salad,0
Pasta,0
Dairy,0
Dairy,0
Rice,0
Pasta,0
Fruits,0
Pasta,0
Fish,0
Fruits,0
Soup,0
Soup,0
Fish,0
Chicken,0
Vegetables,0
Bread,0
Salad,0
Rice,0
Soup,0
Dairy,0
Bread,0
Chicken,0
Rice,0
Soup,0
Soup,0
Pasta,0
Pasta,0
Chicken,0
Rice,0
Chicken,0
Fruits,0
Fruits,0
Chicken,0
Fish,0
Rice,0
Vegetables,0
Fruits,0
Soup,0
Chicken,0
Fish,0
Fish,0
Fish,0
Dairy,0
Dairy,0
Chicken,0
Fish,0
Vegetables,0
Dairy,0
Soup,0
Fruits,0
Rice,0
Dairy,0
Soup,0
Salad,0
Fish,0
Salad,0
