Location,Claim_Count
Jonathanmouth,2
Johnton,2
Jessicaland,2
Jeffreybury,2
Hollyhaven,2
Herbertbury,2
Heatherview,2
Harrishaven,2
Garciatown,2
Gaineschester,2
Francisshire,2
Edwardsbury,2
East Samantha,2
East Robert,2
East Meganfort,2
East Lisa,2
East Jacobchester,2
East Craig,2
East Anthony,2
East Angela,2
East Andrea,2
Derekport,2
Deckermouth,2
Deborahfurt,2
Davidland,2
Davidborough,2
Collinsmouth,2
Colemanton,2
Christopherton,2
Christinamouth,2
Chelseaside,2
Charlesmouth,2
Castilloport,2
Callahanside,2
Brownshire,2
Brandyberg,2
Bentonfurt,2
Batesstad,2
Bartonborough,2
Aprilberg,2
Andersonmouth,2
Alexanderchester,2
Zimmermanton,1
Wilsonview,1
Wilsonport,1
Williamview,1
Williamsfort,1
Westbury,1
West Vanessafort,1
West Tinamouth,1
West Stevenport,1
West Samantha,1
West Robert,1
West Michael,1
West Melissa,1
West Lucasville,1
West Lisamouth,1
West Larry,1
West Kara,1
West Dawn,1
West Dannyland,1
West Corey,1
West Catherine,1
West Brandon,1
West Anthonymouth,1
Watsonton,1
Walterton,1
Walkerfurt,1
Villastad,1
Villaborough,1
Velazquezview,1
Valdezborough,1
Tinamouth,1
Timothyview,1
Thorntonbury,1
Tammyside,1
Sylviabury,1
Strongmouth,1
Spenceland,1
South Tylerstad,1
South Michellechester,1
South Kevinhaven,1
South Johnshire,1
South Jerryside,1
South Douglashaven,1
South Davidside,1
South Danielle,1
South Charles,1
South Brenda,1
South Anne,1
Solisburgh,1
Snyderton,1
Sharonton,1
Sandrastad,1
Samueltown,1
Roystad,1
Rogersmouth,1
Rodriguezview,1
Robertshire,1
Rebeccaburgh,1
Ramseyfort,1
Port Tanyaburgh,1
Port Staceymouth,1
Port Richardshire,1
Port Peter,1
Port Melanie,1
Port Matthew,1
Port Lisamouth,1
Port Lesliebury,1
Port Gregton,1
Port Dustin,1
Port Dianaberg,1
Port Davidshire,1
Port Connie,1
Port Bryce,1
Port Anita,1
Penabury,1
Patrickmouth,1
North Tracy,1
North Sharonberg,1
North Ryan,1
North Nathan,1
North Melanie,1
North Mariahchester,1
North Lisaland,1
North Garybury,1
North Edwinchester,1
North Ebony,1
North Catherine,1
North Caitlin,1
North Ashley,1
North Aaron,1
Nolanmouth,1
Nicoletown,1
New Zachary,1
New Rodneyville,1
New Robertstad,1
New Ricky,1
New Ninashire,1
New Matthew,1
New Lisa,1
New Larry,1
New Jamesburgh,1
New Hannah,1
New Erica,1
New Douglas,1
New Daniel,1
New Calebberg,1
New Billy,1
Mortonfort,1
Moralesside,1
Mooreview,1
Mitchellmouth,1
Millerview,1
Michaelview,1
Meganshire,1
Mcclainfurt,1
Matthewbury,1
Markport,1
Marcstad,1
Lisamouth,1
Latoyaberg,1
Lake Vanessaland,1
Lake Travis,1
Lake Traceyburgh,1
Lake Ryanbury,1
Lake Maria,1
Lake Lauraton,1
Lake Jasmin,1
Lake Jamestown,1
Lake James,1
Lake Heather,1
Lake George,1
Lake Diane,1
Lake Coryhaven,1
Lake Christophermouth,1
Justinhaven,1
Jordanhaven,1
Johnsonborough,1
Jenniferville,1
Jeffreyport,1
Huberstad,1
Henrychester,1
Heatherside,1
Grahamside,1
Ginaview,1
Gibsonfort,1
Garzaville,1
Gardnerfort,1
Fowlerbury,1
Floresville,1
Evansmouth,1
East Timothy,1
East Sonyaport,1
East Sheena,1
East Shanestad,1
East Richardside,1
East Nicholasbury,1
East Lori,1
East Kevin,1
East Johnburgh,1
East Emilyburgh,1
East Emily,1
East Elizabeth,1
East Edwinburgh,1
East Deniseborough,1
East Courtneymouth,1
East Brittanyland,1
East Ashleyshire,1
East Amyfurt,1
East Aaron,1
Deborahland,1
Davisview,1
Davidport,1
Christopherstad,1
Christinetown,1
Chelseyfort,1
Carlbury,1
Brownchester,1
Brownberg,1
Brookeland,1
Boylechester,1
Bonillahaven,1
Blaketown,1
Benjaminstad,1
Bellport,1
Anthonyton,1
Anthonyshire,1
Anthonyborough,1
Andersonville,1
Amandashire,1
Allenborough,1
