City,Receiver_Count
Oliverberg,1
North Williamview,1
North Vanessamouth,1
North Tiffanyfort,1
North Tanner,1
North Stephanieborough,1
North Sherribury,1
North Shelby,1
North Shawnastad,1
North Sarah,1
North Roger,1
North Robinville,1
North Robert,1
North Ricardo,1
North Raymond,1
North Paul,1
North Patriciamouth,1
North Pamela,1
North Nicole,1
North Nicholasborough,1
North Nathanville,1
North Michelle,1
North Michaelville,1
North Michael,1
North Matthewhaven,1
North Mario,1
North Margarethaven,1
North Marcusbury,1
North Manuel,1
North Mallorystad,1
North Lydiaberg,1
North Lisaburgh,1
North Lindachester,1
North Lawrence,1
North Laura,1
North Kimberlyport,1
North Kimberlyland,1
North Kimberlyfort,1
North Kelly,1
North Kathryn,1
North Joshuafort,1
North Joshua,1
North Josephmouth,1
North Josephland,1
North Jenniferside,1
North Jeffreychester,1
North Janetland,1
North Jamesfurt,1
North Jacobhaven,1
North Hollyland,1
North Holly,1
North Heather,1
North Haleyhaven,1
North Erikhaven,1
North Dawn,1
North David,1
North Darinshire,1
North Danielchester,1
North Cynthiaberg,1
North Christopher,1
North Catherinefurt,1
North Bruce,1
North Ashleymouth,1
North Andresport,1
North Amy,1
North Amandafort,1
North Amanda,1
North Alexander,1
North Abigail,1
Nielsenberg,1
Nicoleside,1
Nicoleport,1
Nicoleberg,1
Nicholsonland,1
Nguyenview,1
Nguyenfurt,1
New William,1
New Travisland,1
New Tina,1
New Timothymouth,1
New Tiffany,1
New Tammyhaven,1
New Steven,1
New Stephanie,1
New Shauntown,1
New Shannonbury,1
New Seanburgh,1
New Sean,1
New Sarahmouth,1
New Sara,1
New Ryanmouth,1
New Roseville,1
New Robert,1
New Rebecca,1
New Phillipfurt,1
New Olivia,1
New Natalieland,1
New Michaelport,1
New Michael,1
New Melindashire,1
New Melanie,1
New Matthewton,1
New Mary,1
New Mark,1
New Loriberg,1
New Laura,1
New Larryshire,1
New Kimberly,1
New Kevin,1
New Kellytown,1
New Justinhaven,1
New Juliaton,1
New Julian,1
New Julia,1
New Jesus,1
New Jessicabury,1
New Jessica,1
New Jeffreyhaven,1
New Jason,1
New James,1
New Gloriaburgh,1
New Frederickfort,1
New Erikamouth,1
New Elaine,1
New Dustin,1
New Donnahaven,1
New Deborahville,1
New Daryl,1
New Daniel,1
New Dakotahaven,1
New Craig,1
New Corey,1
New Christopherburgh,1
New Carrie,1
New Brandyhaven,1
New Brandonton,1
New Benjamin,1
New Amy,1
New Alexismouth,1
New Aimeemouth,1
New Adrian,1
New Abigail,1
Nelsonbury,1
Nathanstad,1
Natalieside,1
Nancyshire,1
Myerstown,1
Murrayview,1
Murrayside,1
Murphyfort,1
Morganville,1
Morenoborough,1
Moranhaven,1
Moralesfort,1
Moralesburgh,1
Mooreburgh,1
Monicaton,1
Monicafort,1
Millerport,1
Mikemouth,1
Michealstad,1
Michaeltown,1
Michaelton,1
Michaelside,1
Mercerport,1
Mendozabury,1
Melissaview,1
Melissaport,1
Melissaberg,1
Melindaview,1
Melaniehaven,1
Meghanfort,1
Meganton,1
Meganmouth,1
Meganburgh,1
Mcfarlandhaven,1
Mcdanielmouth,1
Mcclurestad,1
Mayburgh,1
Maxberg,1
Matthewmouth,1
Matthewhaven,1
Mathistown,1
Maryside,1
Maryfort,1
Martinland,1
Martinezside,1
Martinchester,1
Marshallton,1
Marksmouth,1
Marieview,1
Mariefurt,1
Marcusberg,1
Manningtown,1
Lovestad,1
Lorifurt,1
Lisaview,1
Lisaton,1
Lisafurt,1
Lisabury,1
Lisaborough,1
Lewismouth,1
Lewisfort,1
Lewisburgh,1
Leeton,1
Leahchester,1
Lawrencechester,1
Lauratown,1
Lauraport,1
Laurafurt,1
Laurafort,1
Larastad,1
Langburgh,1
Lanechester,1
Lake Williamhaven,1
Lake Victoriaton,1
Lake Victoriaport,1
Lake Tracytown,1
Lake Tina,1
Lake Stevenburgh,1
Lake Steven,1
Lake Stephenport,1
Lake Stephenchester,1
Lake Sonya,1
Lake Sheilaland,1
Lake Shawn,1
Lake Ryan,1
Lake Rebecca,1
Lake Rachelburgh,1
Lake Nicole,1
Lake Mitchellbury,1
Lake Michelle,1
Lake Michaelton,1
Lake Michael,1
Lake Melindaside,1
Lake Matthewstad,1
Lake Matthew,1
Lake Lindseystad,1
Lake Lesliemouth,1
Lake Laurenburgh,1
Lake Larryborough,1
Lake Lance,1
Lake Kyleside,1
Lake Kimberlyton,1
Lake Kevinport,1
Lake Kendra,1
Lake Kelli,1
Lake Kaylamouth,1
Lake Karen,1
Lake Julia,1
Lake Joshuaville,1
Lake Joshuabury,1
Lake Jonathanchester,1
Lake John,1
Lake Jessicaborough,1
Lake Jeffery,1
Lake Heatherberg,1
Lake Gregory,1
Lake Gloria,1
Lake Glenview,1
Lake Erica,1
Lake Elizabeth,1
Lake Dustin,1
Lake Douglas,1
Lake Dillonborough,1
Lake Darrellburgh,1
Lake Crystal,1
Lake Cory,1
Lake Cody,1
Lake Clinton,1
Lake Christychester,1
Lake Christina,1
Lake Christian,1
Lake Catherine,1
Lake Brandonborough,1
Lake Brandibury,1
Lake Austinmouth,1
Lake Amanda,1
Lake Adriennechester,1
Knightburgh,1
Kirkfort,1
Kingville,1
Kinghaven,1
Kimberlyview,1
Kimberlymouth,1
Kenthaven,1
Kennethside,1
Kennethmouth,1
Kennethberg,1
Kempstad,1
Kellyville,1
Kellyfurt,1
Kelleystad,1
Keithstad,1
Katherineside,1
Karenfort,1
Juliastad,1
Joshuamouth,1
Joshuahaven,1
Josephview,1
Josephside,1
Josephfurt,1
Josephborough,1
Jonesside,1
Jonesland,1
Jonathanview,1
Johnville,1
Johnsonville,1
Johnsonchester,1
Johnsonberg,1
Johnland,1
Johnhaven,1
Joanchester,1
Jessicatown,1
Jessicaland,1
Jessicaburgh,1
Jensenland,1
Jenniferberg,1
Jenkinsfurt,1
Jeffreyland,1
Jeffhaven,1
Jeanshire,1
Jasonshire,1
Jarvisshire,1
Jaredport,1
Jamieview,1
Jamesview,1
Jamesstad,1
Jamesborough,1
Jacquelineshire,1
Jacobsmouth,1
Jacobmouth,1
Isaiahtown,1
Ianland,1
Huynhmouth,1
Huntermouth,1
Hunterbury,1
Huffmouth,1
Hornemouth,1
Hollytown,1
Hollyside,1
Hollandburgh,1
Higginsmouth,1
Henryhaven,1
Heathertown,1
Heatherhaven,1
Heatherfurt,1
Heatherburgh,1
Hayesfort,1
Harrisfurt,1
Hardyberg,1
Hansonfurt,1
Hannahside,1
Hammondfort,1
Halltown,1
Hallton,1
Hallside,1
Haleymouth,1
Gutierrezmouth,1
Grossport,1
Gregoryville,1
Greenville,1
Grahambury,1
Gordonstad,1
Goodmanfort,1
Gonzalezstad,1
Gomezmouth,1
Gloriaview,1
Ginaview,1
Ginamouth,1
Gilbertfurt,1
Gilbertborough,1
Geraldchester,1
Georgeborough,1
Garrettborough,1
Garciaview,1
Garciashire,1
Franklinview,1
Fowlerburgh,1
Figueroaport,1
Fernandezchester,1
Fernandezberg,1
Fergusonton,1
Evansside,1
Erikashire,1
Ellisshire,1
Ellisborough,1
Elizabethberg,1
Edwardsside,1
Edwardshaven,1
Edwardport,1
Edwardfort,1
Edwardburgh,1
East Williamborough,1
East William,1
East Travis,1
East Tinamouth,1
East Timhaven,1
East Tiffanyview,1
East Teresamouth,1
East Teresahaven,1
East Tasha,1
East Stevenborough,1
East Stephenton,1
East Stephaniefort,1
East Shirley,1
East Sheriton,1
East Sheenahaven,1
East Sharon,1
East Sharimouth,1
East Saraport,1
East Sarahtown,1
East Robert,1
East Renee,1
East Peter,1
East Nicole,1
East Nathanstad,1
East Nathan,1
East Moniquemouth,1
East Michaelview,1
East Melissaport,1
East Mark,1
East Lisafurt,1
East Kimberlymouth,1
East Kevinberg,1
East Kevin,1
East Kelli,1
East Julietown,1
East Josephview,1
East Josephstad,1
East Joseph,1
East Jordanborough,1
East John,1
East Jillian,1
East Janetstad,1
East Jamesmouth,1
East Jacob,1
East Heatherbury,1
East Heatherborough,1
East Ginafort,1
East Gina,1
East Emily,1
East Dylan,1
East Douglas,1
East Debramouth,1
East Davidbury,1
East Daniel,1
East Dale,1
East Daisybury,1
East Cynthiahaven,1
East Bryan,1
East Ashleyshire,1
East Antoniobury,1
East Andrewhaven,1
East Amandaberg,1
Dylanton,1
Dustinfurt,1
Dunnbury,1
Duncanchester,1
Drakeburgh,1
Donnamouth,1
Diazshire,1
Diazbury,1
Delgadofort,1
Delacruzborough,1
Deanview,1
Deanstad,1
Deanfort,1
Dawsonberg,1
Dawnview,1
Davisport,1
Davisfort,1
Davisburgh,1
Davisborough,1
Davidview,1
Davidtown,1
Davidshire,1
Davidport,1
Davidland,1
Darinview,1
Darinland,1
Dantown,1
Danielsview,1
Danielland,1
Danielfurt,1
Danielfort,1
Danielborough,1
Daleshire,1
Cynthiashire,1
Cummingschester,1
Cruzland,1
Cruzborough,1
Crawfordchester,1
Courtneyfurt,1
Corybury,1
Coreymouth,1
Cookstad,1
Cookhaven,1
Connerland,1
Comptonside,1
Collierburgh,1
Clarkton,1
Clarkhaven,1
Christophertown,1
Christopherland,1
Christineton,1
Christinehaven,1
Christinaland,1
Christinahaven,1
Chrisport,1
Chenview,1
Chaseview,1
Charleston,1
Changview,1
Chambersmouth,1
Chadport,1
Castilloshire,1
Castilloland,1
Caseyland,1
Carterton,1
Carterside,1
Carrborough,1
Carolinebury,1
Carolhaven,1
Carlostown,1
Carlosfurt,1
Campbellchester,1
Cameronfurt,1
Calebview,1
Caitlynhaven,1
Butlerborough,1
Bushview,1
Bushbury,1
Burnettton,1
Burkeside,1
Buchananton,1
Bruceburgh,1
Brownville,1
Brownport,1
Brownbury,1
Brooksmouth,1
Brooksborough,1
Brittanyborough,1
Brianchester,1
Brandonside,1
Bradleyland,1
Bradfurt,1
Bobbyfort,1
Blakehaven,1
Birdview,1
Billyland,1
Biancaton,1
Bergerport,1
Bennettton,1
Benjaminburgh,1
Beckville,1
Bauerton,1
Barreratown,1
Barnesport,1
Bakerport,1
Bakerfort,1
Baileyville,1
Ayalamouth,1
Autumnbury,1
Ashleeside,1
Ariasbury,1
Anthonystad,1
Anthonyport,1
Annaborough,1
Angelicatown,1
Angelaville,1
Angelamouth,1
Andrewsport,1
Andrewmouth,1
Andreaberg,1
Andersonview,1
Andersonland,1
Andersonfort,1
Andersenfort,1
Amberfort,1
Amandaville,1
Amandafurt,1
Amandaburgh,1
Allenborough,1
Aliciabury,1
Alexatown,1
Alexanderbury,1
Aguilarstad,1
Aguilarbury,1
Adamland,1
Aaronshire,1
